city = آزادشهر,    product_id = 6125,  has_sold = 39,  total_money_earned = 1677000
city = خلیل‌آباد,    product_id = 376,  has_sold = 40,  total_money_earned = 2400000
city = امیدیه,    product_id = 3283,  has_sold = 37,  total_money_earned = 1850000
city = سرباز,    product_id = 1331,  has_sold = 32,  total_money_earned = 1792000
city = خوی,    product_id = 9004,  has_sold = 38,  total_money_earned = 1330000
city = جلفا,    product_id = 5735,  has_sold = 40,  total_money_earned = 2000000
city = میبد,    product_id = 495,  has_sold = 40,  total_money_earned = 1680000
city = شهرکرد,    product_id = 5368,  has_sold = 35,  total_money_earned = 1610000
city = صحنه,    product_id = 3340,  has_sold = 39,  total_money_earned = 1833000
city = سرپل ذهاب,    product_id = 5930,  has_sold = 12,  total_money_earned = 612000
city = دامغان,    product_id = 7514,  has_sold = 39,  total_money_earned = 2067000
city = قروه,    product_id = 3166,  has_sold = 40,  total_money_earned = 1920000
city = سیرجان,    product_id = 3007,  has_sold = 39,  total_money_earned = 1482000
city = مهاباد,    product_id = 3591,  has_sold = 40,  total_money_earned = 2400000
city = اردل,    product_id = 7614,  has_sold = 40,  total_money_earned = 2000000
city = ماکو,    product_id = 5385,  has_sold = 39,  total_money_earned = 1404000
city = رزن,    product_id = 8327,  has_sold = 16,  total_money_earned = 768000
city = تنکابن,    product_id = 7837,  has_sold = 40,  total_money_earned = 1440000
city = مینودشت,    product_id = 4588,  has_sold = 36,  total_money_earned = 1404000
city = کلات,    product_id = 7220,  has_sold = 40,  total_money_earned = 1560000
city = خاتم,    product_id = 7629,  has_sold = 40,  total_money_earned = 1480000
city = شوش,    product_id = 6541,  has_sold = 39,  total_money_earned = 1950000
city = سرخس,    product_id = 8788,  has_sold = 40,  total_money_earned = 2280000
city = خمین,    product_id = 6354,  has_sold = 40,  total_money_earned = 2400000
city = شبستر,    product_id = 6237,  has_sold = 27,  total_money_earned = 1404000
city = بافق,    product_id = 2646,  has_sold = 40,  total_money_earned = 1880000
city = فسا,    product_id = 7081,  has_sold = 39,  total_money_earned = 2067000
city = بندر ماهشهر,    product_id = 9232,  has_sold = 37,  total_money_earned = 2146000
city = تنگستان,    product_id = 5089,  has_sold = 38,  total_money_earned = 1444000
city = آبدانان,    product_id = 8851,  has_sold = 40,  total_money_earned = 2280000
city = ایرانشهر,    product_id = 2558,  has_sold = 39,  total_money_earned = 2145000
city = سوادکوه,    product_id = 9940,  has_sold = 34,  total_money_earned = 2040000
city = ارومیه,    product_id = 298,  has_sold = 40,  total_money_earned = 1400000
city = بهشهر,    product_id = 8656,  has_sold = 40,  total_money_earned = 1960000
city = محلات,    product_id = 8126,  has_sold = 39,  total_money_earned = 2262000
city = اسکو,    product_id = 5227,  has_sold = 36,  total_money_earned = 1332000
city = ایلام,    product_id = 4613,  has_sold = 39,  total_money_earned = 2145000
city = اردستان,    product_id = 8297,  has_sold = 34,  total_money_earned = 1462000
city = کنارک,    product_id = 4618,  has_sold = 37,  total_money_earned = 1665000
city = سبزوار,    product_id = 863,  has_sold = 40,  total_money_earned = 2040000
city = اردکان,    product_id = 4518,  has_sold = 40,  total_money_earned = 1480000
city = شاهین‌دژ,    product_id = 815,  has_sold = 38,  total_money_earned = 2242000
city = مبارکه,    product_id = 2340,  has_sold = 40,  total_money_earned = 2360000
city = جم,    product_id = 9730,  has_sold = 40,  total_money_earned = 2320000
city = ثلاث باباجانی,    product_id = 7233,  has_sold = 34,  total_money_earned = 1904000
city = بابل,    product_id = 1387,  has_sold = 39,  total_money_earned = 2028000
city = آمل,    product_id = 4267,  has_sold = 40,  total_money_earned = 2280000
city = درگز,    product_id = 298,  has_sold = 39,  total_money_earned = 1677000
city = شمیرانات,    product_id = 8880,  has_sold = 39,  total_money_earned = 1482000
city = رباط‌کریم,    product_id = 5042,  has_sold = 40,  total_money_earned = 1800000
city = بم,    product_id = 502,  has_sold = 40,  total_money_earned = 1520000
city = ساوجبلاغ,    product_id = 7519,  has_sold = 40,  total_money_earned = 1840000
city = دیر,    product_id = 7685,  has_sold = 40,  total_money_earned = 1800000
city = سنقر,    product_id = 9114,  has_sold = 40,  total_money_earned = 2000000
city = شاهرود,    product_id = 2175,  has_sold = 40,  total_money_earned = 1440000
city = ترکمن,    product_id = 1912,  has_sold = 39,  total_money_earned = 1989000
city = نی‌ریز,    product_id = 5280,  has_sold = 40,  total_money_earned = 2120000
city = قزوین,    product_id = 6015,  has_sold = 31,  total_money_earned = 1333000
city = ورامین,    product_id = 7669,  has_sold = 39,  total_money_earned = 2028000
city = حاجی‌آباد,    product_id = 3361,  has_sold = 36,  total_money_earned = 1692000
city = بندر عباس,    product_id = 225,  has_sold = 33,  total_money_earned = 1485000
city = اراک,    product_id = 7866,  has_sold = 40,  total_money_earned = 1960000
city = زنجان,    product_id = 1098,  has_sold = 31,  total_money_earned = 1581000
city = گناوه,    product_id = 2319,  has_sold = 24,  total_money_earned = 1416000
city = مراغه,    product_id = 4659,  has_sold = 37,  total_money_earned = 1480000
city = گیلان غرب,    product_id = 8659,  has_sold = 40,  total_money_earned = 1840000
city = ابرکوه,    product_id = 3160,  has_sold = 31,  total_money_earned = 1674000
city = بافت,    product_id = 4218,  has_sold = 39,  total_money_earned = 2184000
city = قیر و کارزین,    product_id = 4884,  has_sold = 37,  total_money_earned = 2109000
city = طبس,    product_id = 6019,  has_sold = 31,  total_money_earned = 1333000
city = قشم,    product_id = 7006,  has_sold = 40,  total_money_earned = 2320000
city = اندیمشک,    product_id = 501,  has_sold = 40,  total_money_earned = 2200000
city = بیله‌سوار,    product_id = 3564,  has_sold = 32,  total_money_earned = 1920000
city = تایباد,    product_id = 5553,  has_sold = 40,  total_money_earned = 2400000
city = نطنز,    product_id = 2418,  has_sold = 40,  total_money_earned = 1440000
city = فیروزآباد,    product_id = 7981,  has_sold = 40,  total_money_earned = 2160000
city = تربت جام,    product_id = 6215,  has_sold = 36,  total_money_earned = 1260000
city = دماوند,    product_id = 7002,  has_sold = 40,  total_money_earned = 1440000
city = قلعه گنج,    product_id = 8127,  has_sold = 39,  total_money_earned = 2028000
city = گرمی,    product_id = 1998,  has_sold = 34,  total_money_earned = 1802000
city = فاروج,    product_id = 8746,  has_sold = 40,  total_money_earned = 1560000
city = خوانسار,    product_id = 7096,  has_sold = 40,  total_money_earned = 1600000
city = ارسنجان,    product_id = 330,  has_sold = 40,  total_money_earned = 1840000
city = دنا,    product_id = 9875,  has_sold = 40,  total_money_earned = 1520000
city = درمیان,    product_id = 295,  has_sold = 31,  total_money_earned = 1767000
city = نهاوند,    product_id = 6412,  has_sold = 40,  total_money_earned = 2040000
city = آذرشهر,    product_id = 1795,  has_sold = 40,  total_money_earned = 2360000
city = مهدی‌شهر,    product_id = 8431,  has_sold = 40,  total_money_earned = 2320000
city = طارم,    product_id = 4881,  has_sold = 36,  total_money_earned = 2016000
city = بوشهر,    product_id = 3942,  has_sold = 37,  total_money_earned = 1665000
city = گلوگاه,    product_id = 3159,  has_sold = 32,  total_money_earned = 1408000
city = کهنوج,    product_id = 7545,  has_sold = 40,  total_money_earned = 1440000
city = شیراز,    product_id = 320,  has_sold = 40,  total_money_earned = 1560000
city = دیلم,    product_id = 7059,  has_sold = 36,  total_money_earned = 1800000
city = سلسله,    product_id = 1868,  has_sold = 40,  total_money_earned = 2040000
city = رشت,    product_id = 5365,  has_sold = 40,  total_money_earned = 2000000
city = سمنان,    product_id = 8912,  has_sold = 40,  total_money_earned = 1760000
city = هرسین,    product_id = 3655,  has_sold = 40,  total_money_earned = 1600000
city = تفت,    product_id = 3860,  has_sold = 36,  total_money_earned = 1512000
city = مانه و سملقان,    product_id = 1098,  has_sold = 40,  total_money_earned = 2160000
city = کنگاور,    product_id = 7563,  has_sold = 37,  total_money_earned = 1665000
city = بهبهان,    product_id = 3805,  has_sold = 39,  total_money_earned = 2340000
city = گناباد,    product_id = 3631,  has_sold = 38,  total_money_earned = 1596000
city = نجف‌آباد,    product_id = 3313,  has_sold = 39,  total_money_earned = 2106000
city = نکا,    product_id = 8190,  has_sold = 40,  total_money_earned = 2080000
city = جویبار,    product_id = 3222,  has_sold = 34,  total_money_earned = 1394000
city = کمیجان,    product_id = 1928,  has_sold = 40,  total_money_earned = 1400000
city = سیاهکل,    product_id = 6323,  has_sold = 40,  total_money_earned = 1400000
city = دلگان,    product_id = 8306,  has_sold = 36,  total_money_earned = 1548000
city = چناران,    product_id = 2756,  has_sold = 37,  total_money_earned = 2109000
city = کرج,    product_id = 9385,  has_sold = 36,  total_money_earned = 1800000
city = آبادان,    product_id = 3360,  has_sold = 38,  total_money_earned = 2242000
city = سربیشه,    product_id = 4771,  has_sold = 39,  total_money_earned = 1989000
city = نمین,    product_id = 973,  has_sold = 40,  total_money_earned = 2080000
city = تاکستان,    product_id = 5210,  has_sold = 39,  total_money_earned = 1404000
city = خدابنده,    product_id = 3836,  has_sold = 40,  total_money_earned = 2360000
city = ماه‌نشان,    product_id = 1200,  has_sold = 40,  total_money_earned = 2040000
city = زرین‌دشت,    product_id = 8638,  has_sold = 30,  total_money_earned = 1620000
city = گچساران,    product_id = 762,  has_sold = 52,  total_money_earned = 3016000
city = هندیجان,    product_id = 7804,  has_sold = 40,  total_money_earned = 1680000
city = مرند,    product_id = 6944,  has_sold = 40,  total_money_earned = 2320000
city = تبریز,    product_id = 1153,  has_sold = 40,  total_money_earned = 1960000
city = لامِرد,    product_id = 5054,  has_sold = 38,  total_money_earned = 2128000
city = اشنویه,    product_id = 6469,  has_sold = 40,  total_money_earned = 2120000
city = بابلسر,    product_id = 7526,  has_sold = 40,  total_money_earned = 1720000
city = مه ولات,    product_id = 6596,  has_sold = 40,  total_money_earned = 1680000
city = فومَن,    product_id = 879,  has_sold = 24,  total_money_earned = 1272000
city = کنگان,    product_id = 3228,  has_sold = 38,  total_money_earned = 2052000
city = بوانات,    product_id = 6722,  has_sold = 40,  total_money_earned = 2040000
city = مهران,    product_id = 9806,  has_sold = 40,  total_money_earned = 1960000
city = نظرآباد,    product_id = 1333,  has_sold = 40,  total_money_earned = 1880000
city = جاسک,    product_id = 7052,  has_sold = 40,  total_money_earned = 2080000
city = ساری,    product_id = 4304,  has_sold = 38,  total_money_earned = 2090000
city = خلخال,    product_id = 8375,  has_sold = 40,  total_money_earned = 2240000
city = گلپایگان,    product_id = 1409,  has_sold = 35,  total_money_earned = 1260000
city = رضوانشهر,    product_id = 5300,  has_sold = 37,  total_money_earned = 1480000
city = رودسر,    product_id = 6811,  has_sold = 40,  total_money_earned = 2000000
